MKT-22003,2,7,26,40
MKT-22004,27,38,39,55
MKT-22005,35,37,43,58
MKT-22006,4,6,10,57
MKT-22007,33,37,39,53
MKT-22008,28,33,36,43
MKT-22009,44,46,51,54
MKT-22011,12,39,44,55
MKT-22012,39,54,55,56
MKT-22013,33,36,37,58
MKT-22015,4,6,10,57
MKT-22016,15,35,42,59
MKT-22017,41,45,46,55
MKT-22018,34,47,48,61
MKT-22019,14,40,42,50
MKT-22020,12,38,44,54
MKT-22022,14,40,42,57
MKT-22023,27,35,46,51
MKT-22025,12,44,51,52
MKT-22027,15,17,32,35
MKT-22028,14,21,42,50
MKT-22029,9,44,46,55
MKT-22030,7,29,49,59
MKT-22032,9,44,46,52
MKT-22033,13,29,47,56
MKT-22034,33,36,37,53
MKT-22035,2,19,31,43
MKT-22036,2,19,31,43
MKT-22037,4,10,19,57
MKT-22038,17,35,53,59
MKT-22039,6,15,26,31
MKT-22040,2,13,32,40
MKT-22042,9,38,51,54
MKT-22043,28,36,39,43
MKT-22044,17,29,47,56
MKT-22045,26,28,36,43
MKT-22046,9,27,38,51
MKT-22047,7,41,47,56
MKT-22048,12,38,45,55
MKT-22049,4,6,10,57
MKT-22050,15,17,32,35
MKT-22051,34,37,41,54
MKT-22054,29,41,45,47
MKT-22055,7,13,49,59
MKT-22056,7,41,47,56
MKT-22058,4,21,31,39
MKT-22059,28,33,36,43
MKT-22060,14,21,42,50
MKT-22062,14,21,42,59
MKT-22063,33,39,48,61
MKT-22064,29,41,45,56
MKT-22065,36,37,43,58
MKT-22066,12,27,51,54
MKT-22067,14,21,42,50
MKT-22069,44,51,52,53
MKT-22071,6,12,13,40
MKT-22072,41,48,53,61
MKT-22073,2,19,21,32
MKT-22074,7,29,45,47
MKT-22075,17,35,43,53
MKT-22077,34,45,47,49
MKT-22078,13,14,42,59
MKT-22079,17,35,40,53
MKT-22080,14,21,42,50
MKT-22081,28,33,39,43
MKT-22083,7,45,48,61
MKT-22084,13,40,42,50
MKT-22085,39,47,49,56
MKT-22086,27,38,46,52
MKT-22087,26,28,39,58
MKT-22088,39,41,53,56
MKT-22089,26,33,43,53
MKT-22090,6,10,15,26
MKT-22091,12,38,46,52
MKT-22093,2,13,32,40
MKT-22094,10,19,26,57
MKT-22096,34,37,45,49
MKT-22097,14,40,42,59
MKT-22098,17,35,43,53
MKT-22099,2,13,32,40
MKT-22100,36,39,48,61
MKT-22101,44,46,51,52
MKT-22102,28,34,35,43
MKT-22103,39,45,53,61
MKT-22104,10,19,31,57
MKT-22105,14,34,42,50
MKT-22106,12,27,52,54
MKT-22107,6,15,26,31
MKT-22108,4,10,31,57
MKT-22109,12,44,52,54
MKT-22110,36,41,43,58
MKT-22111,36,43,53,58
MKT-22113,12,44,52,54
MKT-22115,7,29,49,59
MKT-22116,9,27,38,52
MKT-22117,35,39,43,58
MKT-22118,45,46,48,61
MKT-22119,4,10,19,57
MKT-22120,17,35,39,53
MKT-22121,42,48,49,61
MKT-22122,9,44,46,55
MKT-22124,29,39,53,56
MKT-22125,14,21,42,50
MKT-22126,4,21,31,39
MKT-22127,9,12,27,55
MKT-22129,29,34,49,59
MKT-22130,6,15,28,53
MKT-22131,17,35,43,53
MKT-22132,28,35,39,58
MKT-22133,17,31,35,53
MKT-22134,6,15,26,31
MKT-22135,28,33,37,58
MKT-22137,28,33,37,53
MKT-22138,6,15,28,53
MKT-22139,26,28,35,37
MKT-22142,7,41,47,56
MKT-22143,14,40,42,50
MKT-22144,13,29,49,59
MKT-22145,28,33,36,43
MKT-22146,15,33,48,61
MKT-22147,33,39,53,58
MKT-22148,4,7,34,48
MKT-22149,4,10,19,57
MKT-22150,9,27,38,55
MKT-22151,2,19,32,42
MKT-22153,9,27,38,55
MKT-22154,9,38,51,54
MKT-22155,2,7,26,32
MKT-22158,36,37,39,43
MKT-22159,34,36,48,61
MKT-22160,2,19,32,43
MKT-22161,14,21,42,50
