,0,1
0,1,"1, MKT-22006, MKT-22027, MKT-22059, MKT-22089, MKT-22111, MKT-22137, MKT-22146"
1,2,"2, MKT-22034, MKT-22045, MKT-22054, MKT-22098, MKT-22130, MKT-22131, MKT-22138"
2,7,"7, MKT-22013, MKT-22018, MKT-22044, MKT-22064, MKT-22077, MKT-22096, MKT-22110"
3,12,"12, MKT-22046, MKT-22072, MKT-22086, MKT-22116, MKT-22118, MKT-22150, MKT-22153"
4,31,"31, MKT-22005, MKT-22015, MKT-22038, MKT-22049, MKT-22050, MKT-22090, MKT-22135"
5,39,"39, MKT-22008, MKT-22037, MKT-22065, MKT-22094, MKT-22119, MKT-22139, MKT-22145, MKT-22149"
6,42,"42, MKT-22023, MKT-22069, MKT-22075, MKT-22079, MKT-22102, MKT-22122, MKT-22159"
7,54,"54, MKT-22017, MKT-22029, MKT-22032, MKT-22033, MKT-22101, MKT-22129, MKT-22144"
